Run,Baseline Time (s),LLM Time (s),Tensile Time (s),Tuning Time Reduction,Performance Retention,Winner Matched
1,48.64,42.83,23.58,-0.3655,0.8858,False
2,48.64,20.43,24.18,0.0827,0.8949,False
3,48.64,20.1,24.31,0.0869,0.8833,False
4,48.64,21.36,24.1,0.0653,0.7336,False
5,48.64,19.79,24.09,0.0979,0.5047,False
